s,俳句,読み,季語候補,plutchik_main,nihon_main,nihon_sub,main_confidence,季節,ジャンル,出典,年,has_repetition
4982,木々おの～名乗り出たる木の芽哉,きぎおのおの なのりいでたる このめかな,木の芽,喜び,風雅,淡白,0.75,春,植物,千題集,寛政1,TRUE
21503,かれ芒かさり～と夜明たり,かれすすき かさりかさりと よあけたり,枯れ芒,喜び,無常,物の哀れ,0.72,冬,植物,題葉集,寛政１２,TRUE
5006,浦～の浪よけ椿咲にけり,うらうらの なみよけつばき さきにけり,椿,喜び,風雅,幽玄,0.75,春,植物,寛政三紀行,寛政３,TRUE
16805,ざぶ～と萩起直る夜半哉,ざぶざぶと はぎおきなおる やはんかな,萩（木萩）,喜び,風雅,静寂,0.75,秋,植物,題葉集,寛政３,TRUE
1455,春風や礎しめる朝な～,はるかぜや いしずえしめる あさなあさな,春風,喜び,風雅,淡白,0.75,春,天文,寛政句帖,寛政4,TRUE
7575,賤やしづ～はた焼に汲め清水,しづやしづ しづはたやきに くめしみず,清水,信頼,風雅,静寂,0.75,夏,地理,寛政句帖,寛政4,TRUE
8946,新町や我～も眼の夕すゞみ,しんまちや われわれもめの ゆうすずみ,涼み,喜び,風雅,静寂,0.75,夏,人事,寛政句帖,寛政4,TRUE
12113,染飯や我～しきが青柏,そめいいや われわれしきが あおかしは,青葉,喜び,風雅,淡白,0.75,夏,植物,寛政句帖,寛政4,TRUE
13670,東西南北吹交ぜ～野分哉,とうざいなんぼく ふきまぜふきまぜ のわきかな,野分,驚き,風雅,幽玄,0.75,秋,天文,寛政句帖,寛政4,TRUE
18028,行年の行先～″は市日哉,ゆくとしの ゆくさきざきは いちびかな,行く年（年の暮）,期待,無常,物の哀れ,0.72,冬,時候,寛政句帖,寛政4,TRUE
21031,夜な～は榾で活たる山家哉,よなよなは ほたでいきたる やまがかな,榾,喜び,風雅,静寂,0.75,冬,人事,寛政句帖,寛政4,TRUE
967,嬌女を日～゛にかぞへる春日哉,たおやめを ひびにかぞえる はるびかな,春の日,喜び,風雅,可憐さ,0.75,春,時候,寛政句帖,寛政5,TRUE
7997,山颪家～の幟に起る也,やまおろし かかののぼりに おこるなり,幟,驚き,風雅,幽玄,0.72,夏,人事,寛政句帖,寛政5,TRUE
12333,菊月や山里～も供日酒,きくづきや やまざとさとも ともひざけ,九月,喜び,風雅,余情,0.75,秋,時候,寛政句帖,寛政5,TRUE
13379,荒日～荒しまへば月もなごり哉,あれびあれび あれしまえばつきも なごりかな,後の月,悲しみ,無常,物の哀れ,0.75,秋,天文,寛政句帖,寛政5,TRUE
16006,きり～”すしばし蒲円のうへに哉,きりぎりす しばしふとんの うえにかな,きりぎりす,喜び,風雅,静寂,0.75,秋,動物,寛政句帖,寛政5,TRUE
21139,夜な～は鰒で活たる下在哉,よなよなは ふぐでいきたる げざいかな,鰒汁,喜び,風雅,淡白,0.75,冬,人事,寛政句帖,寛政5,TRUE
21746,冬枯や飛～に菜のこぼれ種,ふゆがれや とびとびになの こぼれだね,冬枯れ,期待,無常,物の哀れ,0.65,冬,植物,寛政句帖,寛政5,TRUE
21866,山茶花や花の間に～蝦かづら,さざんかや はなのまにまに えびかづら,山茶花,喜び,風雅,幽玄,0.75,冬,植物,寛政句帖,寛政5,TRUE
1675,きぬ～”やかすむ迄見る妹が家,きぬぎぬや かすむまでみる いもがいえ,霞,喜び,風雅,幽玄,0.75,春,天文,寛政句帖,寛政６,TRUE
7385,雲のみね見越～て安蘇煙,くものみね みこしみこして あそけむり,雲の峰,期待,幽玄,風雅,0.75,夏,時候,寛政句帖,寛政６,TRUE
18198,冬の月いよ～伊予の高根哉,ふゆのつき いよいよいよの たかねかな,冬の月,喜び,風雅,淡白,0.75,冬,天文,寛政句帖,寛政６,TRUE
19037,家陰や吹雪～の吹き溜り,いえかげや ふぶきふぶきの ふきだまり,吹雪,悲しみ,無常,静寂,0.72,冬,天文,寛政句帖,寛政６,TRUE
19038,灯ちら～疱瘡小家の吹雪哉,あかりちらちら もがさこいえの ふぶきかな,吹雪,悲しみ,無垢,物の哀れ,0.75,冬,天文,寛政句帖,寛政６,TRUE
